sample_id,lake_name,year,date_sampled,parameter,sample_location,value
2595,Robinson,2017,25-Jul-17,Surface Area (ha),Epilimnion,23.88
2637,Steinbarger,2018,26-Jun-18,Surface Area (ha),Epilimnion,29.54
2480,Sullivan,2016,27-Jul-16,Surface Area (ha),Epilimnion,205.18
2686,Bowen,2018,17-Jul-18,Surface Area (ha),Epilimnion,12.14
2707,Versailles,2018,30-Jul-18,Surface Area (ha),Epilimnion,93.08
2339,Loon,2015,7-Jul-15,Surface Area (ha),Epilimnion,6.07
2656,Ferdinand City New,2018,2-Jul-18,Surface Area (ha),Epilimnion,4.05
2708,Woods (Big Blue #3),2018,30-Jul-18,Surface Area (ha),Epilimnion,17.81
2338,Larwill,2015,7-Jul-15,Surface Area (ha),Epilimnion,4.05
2417,Waveland,2015,11-Aug-15,Surface Area (ha),Epilimnion,145.69
2496,Molenkramer Reservoir,2016,3-Aug-16,Surface Area (ha),Epilimnion,37.64
2612,Bass,2017,8-Aug-17,Surface Area (ha),Epilimnion,544.32
2671,Tamarack,2018,10-Jul-18,Surface Area (ha),Epilimnion,8.09
2340,Little Bause,2015,7-Jul-15,Surface Area (ha),Epilimnion,2.83
2358,Cedar,2015,13-Jul-15,Surface Area (ha),Epilimnion,316.07
2712,Waveland,2018,31-Jul-18,Surface Area (ha),Epilimnion,145.69
2380,Willow,2015,22-Jul-15,Surface Area (ha),Epilimnion,1.62
2403,Scales,2015,3-Aug-15,Surface Area (ha),Epilimnion,26.71
2404,Schlamm,2015,3-Aug-15,Surface Area (ha),Epilimnion,285.31
2405,John Hay,2015,3-Aug-15,Surface Area (ha),Epilimnion,84.99
2406,Starve Hollow,2015,3-Aug-15,Surface Area (ha),Epilimnion,58.68
2407,Brush Creek Reservoir,2015,3-Aug-15,Surface Area (ha),Epilimnion,67.58
2408,Huntingburg City,2015,4-Aug-15,Surface Area (ha),Epilimnion,73.25
2409,White Oak #2,2015,4-Aug-15,Surface Area (ha),Epilimnion,2.83
2410,Crystal,2015,4-Aug-15,Surface Area (ha),Epilimnion,3.24
2411,Kickapoo,2015,4-Aug-15,Surface Area (ha),Epilimnion,12.14
2412,Shakamak,2015,4-Aug-15,Surface Area (ha),Epilimnion,22.66
2435,North Twin,2016,15-Jun-16,Surface Area (ha),Epilimnion,54.63
2436,North Twin,2016,15-Jun-16,Surface Area (ha),Epilimnion,54.63
2437,North Twin,2016,15-Jun-16,Surface Area (ha),Epilimnion,54.63
2663,Fry,2018,3-Jul-18,Surface Area (ha),Epilimnion,1.62
2453,South Twin,2016,5-Jul-16,Surface Area (ha),Epilimnion,46.95
2477,Ferdinand City New,2016,18-Jul-16,Surface Area (ha),Epilimnion,4.05
2548,Simonton,2017,28-Jun-17,Surface Area (ha),Epilimnion,114.13
2549,Hunter,2017,28-Jun-17,Surface Area (ha),Epilimnion,40.07
2550,Fish,2017,28-Jun-17,Surface Area (ha),Epilimnion,13.76
2551,Banning,2017,28-Jun-17,Surface Area (ha),Epilimnion,4.86
2552,Little Barbee,2017,28-Jun-17,Surface Area (ha),Epilimnion,27.52
2558,Benefiel,2017,11-Jul-17,Surface Area (ha),Epilimnion,24.28
2673,Mink,2018,10-Jul-18,Surface Area (ha),Epilimnion,14.16
2651,Robinson,2018,26-Jun-18,Surface Area (ha),Epilimnion,23.88
2616,Airline,2017,11-Jul-17,Max depth (m),Epilimnion,21
2467,Gambill,2016,20-Jul-16,Max depth (m),Epilimnion,12.8
2570,Eagle,2017,17-Jul-17,Max depth (m),Epilimnion,13.1
2559,Hale,2017,10-Jul-17,Max depth (m),Epilimnion,9.1
2576,Deam,2017,17-Jul-17,Max depth (m),Epilimnion,9.5
2439,Gage,2016,27-Jun-16,Max depth (m),Epilimnion,21.95
2526,Nasby Mill Pond,2016,15-Aug-16,Max depth (m),Epilimnion,1.4
2555,Chrisney,2017,10-Jul-17,Max depth (m),Epilimnion,4.3
2571,Price,2017,17-Jul-17,Max depth (m),Epilimnion,13
2311,Griffy,2015,30-Apr-15,Max depth (m),Epilimnion,9
2363,Gambill,2015,15-Jul-15,Max depth (m),Epilimnion,13
2402,Boones Pond,2015,5-Aug-15,Max depth (m),Epilimnion,8.38
2525,George,2016,15-Aug-16,Max depth (m),Epilimnion,25
2603,McClish,2017,31-Jul-17,Max depth (m),Epilimnion,16.9
2468,Mayfield,2016,20-Jul-16,Max depth (m),Epilimnion,7.6
2475,Celina,2016,18-Jul-16,Max depth (m),Epilimnion,15.54
2565,Hammond,2017,12-Jul-17,Max depth (m),Epilimnion,8
2346,Green,2015,6-Jul-15,Max depth (m),Epilimnion,10.7
